Ref. No,Product Details,Tender Location,Industry,Closing Date,Opening Date,Tender Value,Tender Fees
43722610,Supply of food materials to molakalmuru taluk dist,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,31/05/2021 at 00:00 Hrs.,3/06/2021 at 00:00 Hrs.,,550
43663690,"supply of Veg fruit, hay baled and perishable items contract and any other miscellaneous items",Multi State - India,Security Services - Non-financial Services,29/11/2021 at 00:00 Hrs.,29/11/2021 at 00:00 Hrs.,,
43592315,Supply of nutritious food items to tribal people in mysore district.,Karnataka - India,Other Services - Financial Services,4/06/2021 at 00:00 Hrs.,5/06/2021 at 00:00 Hrs.,,550
43566640,Supply of food items and other items.,Karnataka - India,Municipal Corporations - Non-financial Services,31/05/2021 at 00:00 Hrs.,2/06/2021 at 00:00 Hrs.,,
41650231,"Supply of wheat, atta whole meal, mg asc, wheat atta, whole meal, dalia, suji, flour and wheat bran.",Rajasthan - India,Security Services - Non-financial Services,14/06/2021 at 00:00 Hrs.,14/06/2021 at 00:00 Hrs.,,
43547882,Supply of food items to minority welfare department district,Karnataka - India,Recreational Services        - Non-financial Services,31/05/2021 at 00:00 Hrs.,2/06/2021 at 00:00 Hrs.,,550
43817181,"Jhund - samakhiyali section - supply of potable drinking water by road tanker at station hirapur, dhrangadhra, ghanshyamgadh, chuli, sukhpur, gang no-10, jurisdiction of assistant divisional engineer - dhrangadhra(for two years)",Gujarat - India,Railways Transport Services - Transport Services         ,1/06/2021 at 00:00 Hrs.,1/06/2021 at 15:00 Hrs.,23692246,10000
43735835,"Supply of nutrition food items to st jenukuruba, yerava, soliga, kudiya and kadukuruba families",Karnataka - India,Other Services - Financial Services,15/06/2021 at 00:00 Hrs.,17/06/2021 at 00:00 Hrs.,,550
43817180,"Jhund - hirapur section - supply of potable drinking water by road tanker at station sadla, bajana, jat pipli, vasadva, dhrumath, gang no 07, jurisdiction of assistant divisional engineer - vramgam (for two year)",Gujarat - India,Railways Transport Services - Transport Services         ,1/06/2021 at 00:00 Hrs.,1/06/2021 at 15:00 Hrs.,3689560,3000
43446476,Supply of Food item,Uttar Pradesh - India,Education And Research Institute - Non-financial Services,30/06/2021 at 00:00 Hrs.,30/06/2021 at 14:00 Hrs.,,1180
43527726,"Supply of fresh articles at various stations of western command as shown for the PD from 01 oct 2021 to 30 sep 2022 by the process - Vegetable, Fruit, Bread, Ice, Milk, Milk Product.",Multi State - India,Security Services - Non-financial Services,11/11/2021 at 00:00 Hrs.,11/11/2021 at 00:00 Hrs.,,
