Tender Title,Description,Location,Opening Date,Closing Date,Tender Amount,Tender Link
Rural Development And Panchayat Raj Department - RDPR Tender,MDM/CR/OS/DA/M/2021-22 - Transportation Of Food Grains From Taluk Kfcsc Godawans To Taluka Wise All Schools Under Mid Day Meal Programme In Vijaypur District,-,30 Mar 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/rural-development-and-panchayat-raj-department/detail-238c33f1-8454-42de-b3be-35266061ef09?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Education - DoE Tender,"DE23(621)/MDM/Tender - For Lifting, Testing And Reporting Of Samples Of Cooked Food Provided To The Children Of Primary And Upper Primary Classes Of Schools Under Directorate Of Education Under The Mid Day Meal Scheme And Food Grains Supplied By The Fci.","Delhi, Delhi",22 Mar 2021,10 May 2021,₹ 1 Cr,https://bidassist.com/all-tenders/department-of-education/detail-893ca4dd-d654-401c-b2a4-cafc03501968?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Nandurbar District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 13.8 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-3e8420a7-1795-4a06-aa1e-22c1fe876313?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Washim -district Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 10.1 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-6dcc008d-f88f-4f1b-a7b5-ecb0093973ac?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Ahmadnagar District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 36 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-f695ede2-986b-426f-acb2-134abf7d33ea?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Nagpur District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 22.4 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-b4f28c7c-7f73-46bc-8afb-639912d1ff09?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Chandrapur District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 13.8 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-b85d8a27-c863-42db-8946-2b0a180ae49e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Wardha District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 6.7 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-ce8b36dc-a5bd-4884-874b-bc97c1685793?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Pune District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 38 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-d49659af-203f-413a-95a2-0066845d23ff?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Sindhudurg District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 4.7 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-627e651b-c8d9-4ace-b254-b11d4a7cf962?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
